"Scenario","rep","estimator","theta","se","ci_l","ci_u","n_np","n_p","n_union","error","phi_1","phi_se_1","phi_ci_l_1","phi_ci_u_1","phi_2","phi_se_2","phi_ci_l_2","phi_ci_u_2","phi_3","phi_se_3","phi_ci_l_3","phi_ci_u_3","phi_4","phi_se_4","phi_ci_l_4","phi_ci_u_4"
"S4",7,"P",-0.0613219169352799,0.0920004006950282,-0.241639388860789,0.118995554990229,1540,241,1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",7,"NP",0.0217217577449282,0.0381421243812416,-0.0530354323361523,0.0964789478260087,1540,241,1781,NA,-2.10133565866461,NA,NA,NA,-0.495060635794631,NA,NA,NA,-0.804057714882896,NA,NA,NA,NA,NA,NA,NA
"S4",7,"NP_P",0.0118477720205947,0.0276214475362745,-0.0422892703513659,0.0659848143925553,1540,241,1781,NA,-2.08572473457244,NA,NA,NA,-0.4140356675755,NA,NA,NA,-0.879135827762817,NA,NA,NA,NA,NA,NA,NA
"S4",7,"Eff_S",-0.130168930956873,0.0438431719833643,-0.216099969012263,-0.0442378929014838,1540,241,1781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",7,"Eff_P",-0.109457068210821,0.0310053420501828,-0.170226421957525,-0.0486877144641174,1540,241,1781,NA,-2.13246411131035,NA,NA,NA,-0.612757636884253,NA,NA,NA,-0.539202727994392,NA,NA,NA,NA,NA,NA,NA
"S4",7,"Eff1_union",-0.100563751413153,0.0616589472320555,-0.221413067312637,0.0202855644863314,1540,241,1781,NA,-2.1113954321175,0.0860527207310903,-2.28005566552212,-1.94273519871288,-0.639144883551516,0.0882257617397446,-0.812064199070027,-0.466225568033005,-0.55117800556446,0.102884417294049,-0.752827758031185,-0.349528253097735,NA,NA,NA,NA
"S4",7,"Eff2_union",-0.101661941472586,0.0620666347735036,-0.223310310270255,0.0199864273250822,1540,241,1781,NA,-2.11351560693255,0.0860272351462343,-2.28212588950873,-1.94490532435637,-0.637676690169582,0.0876608716453475,-0.809488841447851,-0.465864538891312,-0.549138214869858,0.102889901683221,-0.750798716541839,-0.347477713197878,NA,NA,NA,NA
"S4",7,"Eff1",-0.0133978896415455,0.0211842232409383,-0.054918204234241,0.0281224249511499,1540,241,1781,NA,-2.10521151802114,0.0374649710771596,-2.17864151201421,-2.03178152402807,-0.556479260057554,0.0461172802214881,-0.646867468356612,-0.466091051758496,-0.707761529829719,0.0544608757106173,-0.814502884789041,-0.601020174870397,NA,NA,NA,NA
"S4",7,"Eff2",-0.00566464820578827,0.0218222604700835,-0.048435492788404,0.0371061963768274,1540,241,1781,NA,-2.10274109685193,0.0375289501582008,-2.1762964875396,-2.02918570616426,-0.568911135936715,0.048286056914554,-0.663550068444692,-0.474272203428738,-0.706890746429952,0.0551211767575637,-0.814926267660243,-0.59885522519966,NA,NA,NA,NA
"S4",8,"P",-0.00318968210080663,0.0795460995210317,-0.159097172272668,0.152717808071054,1408,260,1668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",8,"NP",-0.0608264315597781,0.0365697534511616,-0.132501831247564,0.0108489681280079,1408,260,1668,NA,-2.26545251079876,NA,NA,NA,-0.526905953513355,NA,NA,NA,-0.731188199866392,NA,NA,NA,NA,NA,NA,NA
"S4",8,"NP_P",-0.0646371078306173,0.0268184460558952,-0.117200296221502,-0.0120739194397324,1408,260,1668,NA,-2.21842309621307,NA,NA,NA,-0.52531488721641,NA,NA,NA,-0.709137301765981,NA,NA,NA,NA,NA,NA,NA
"S4",8,"Eff_S",-0.0976260372582182,0.0420040439021921,-0.179952450511554,-0.0152996240048824,1408,260,1668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",8,"Eff_P",-0.219545675299679,0.0351113461131417,-0.288362649130157,-0.150728701469201,1408,260,1668,NA,-2.43363627416752,NA,NA,NA,-0.41911376805657,NA,NA,NA,-0.702770147375947,NA,NA,NA,NA,NA,NA,NA
"S4",8,"Eff1_union",-0.0920104623061916,0.0637984211482802,-0.217053070027339,0.033032145414956,1408,260,1668,NA,-2.41013688715307,0.0814622458347553,-2.56979995508894,-2.2504738192172,-0.455129857888018,0.0808937115486177,-0.61367861909908,-0.296581096676955,-0.710403772099363,0.0950840810132458,-0.896765146388414,-0.524042397810313,NA,NA,NA,NA
"S4",8,"Eff2_union",-0.0940164361052103,0.0636786886770655,-0.218824372494997,0.0307915002845767,1408,260,1668,NA,-2.41347728410478,0.0813349508634592,-2.5728908584815,-2.25406370972807,-0.452929777743983,0.0805419541897614,-0.61078910720039,-0.295070448287576,-0.712348829343941,0.0945782999136719,-0.897718890893765,-0.526978767794116,NA,NA,NA,NA
"S4",8,"Eff1",0.020411766041009,0.023406265545548,-0.0254636714408459,0.0662872035228639,1408,260,1668,NA,-2.23225982317876,0.040058483194623,-2.31077300751553,-2.153746638842,-0.511836617226674,0.0655745537395839,-0.640360380858545,-0.383312853594803,-0.842794539594483,0.0631914603038882,-0.966647525920596,-0.718941553268369,NA,NA,NA,NA
"S4",8,"Eff2",0.0218216485767911,0.0259775694191805,-0.0290934518906917,0.072736749044274,1408,260,1668,NA,-2.23975161395319,0.0402828895388378,-2.31870462664252,-2.16079860126386,-0.465301719731137,0.064019582500922,-0.590777795738235,-0.339825643724039,-0.887585548011907,0.0697388484491078,-1.02427117929546,-0.750899916728359,NA,NA,NA,NA
"S4",9,"P",-0.138351815736665,0.108382829515911,-0.350778258130395,0.0740746266570652,1418,254,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",9,"NP",-0.105365916959861,0.0304887789357035,-0.165122825606443,-0.0456090083132786,1418,254,1672,NA,-2.17136921295022,NA,NA,NA,-0.564926251801765,NA,NA,NA,-0.547119384270305,NA,NA,NA,NA,NA,NA,NA
"S4",9,"NP_P",-0.163301944564697,0.0245401106567848,-0.211399677628623,-0.115204211500771,1418,254,1672,NA,-2.13551492800103,NA,NA,NA,-0.730413285930842,NA,NA,NA,-0.337165595151827,NA,NA,NA,NA,NA,NA,NA
"S4",9,"Eff_S",-0.0919765013387178,0.0464052705861482,-0.182929160380404,-0.00102384229703152,1418,254,1672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",9,"Eff_P",-0.439615100205822,0.0380168545899328,-0.514126766007586,-0.365103434404057,1418,254,1672,NA,-2.39838184674552,NA,NA,NA,-0.262642774554724,NA,NA,NA,-0.561822516717074,NA,NA,NA,NA,NA,NA,NA
"S4",9,"Eff1_union",-0.166930191394994,0.0829792468721022,-0.329566526728572,-0.00429385606141548,1418,254,1672,NA,-2.35975466976707,0.0801825472270337,-2.51690957452073,-2.2025997650134,-0.325803649016702,0.0887821608160259,-0.499813486685756,-0.151793811347648,-0.580243997456562,0.0912238203387266,-0.759039399852619,-0.401448595060505,NA,NA,NA,NA
"S4",9,"Eff2_union",-0.173780760313663,0.0842924091604792,-0.338990846438316,-0.00857067418900975,1418,254,1672,NA,-2.38378507011711,0.0769506049544266,-2.53460548441636,-2.23296465581786,-0.296454065284032,0.0860855986262454,-0.465178738179044,-0.127729392389021,-0.569965782845735,0.088738997109573,-0.743891021204702,-0.396040544486767,NA,NA,NA,NA
"S4",9,"Eff1",-0.0388385401071351,0.0212355358991352,-0.0804594256618475,0.00278234544757728,1418,254,1672,NA,-2.16319050516219,0.0365374373661806,-2.23480256648729,-2.09157844383709,-0.490254787963694,0.0454050636074032,-0.579247077349954,-0.401262498577433,-0.646116148104671,0.04703783201638,-0.738308604767621,-0.553923691441721,NA,NA,NA,NA
"S4",9,"Eff2",-0.0385212837031497,0.0215123457780345,-0.0806847066510697,0.0036421392447703,1418,254,1672,NA,-2.16170565716613,0.0363934903575967,-2.23303558753873,-2.09037572679354,-0.482906144824979,0.0453329327037885,-0.571757060237982,-0.394055229411976,-0.644777408816086,0.046941299922682,-0.736780666052036,-0.552774151580137,NA,NA,NA,NA
"S4",10,"P",-0.14072392200171,0.10886334889926,-0.354092165080678,0.0726443210772577,1515,225,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",10,"NP",-0.0885043138192053,0.0304792220829195,-0.148242491378525,-0.0287661362598851,1515,225,1740,NA,-2.15115943670244,NA,NA,NA,-0.638298110186288,NA,NA,NA,-0.585441431252351,NA,NA,NA,NA,NA,NA,NA
"S4",10,"NP_P",0.00557587757394521,0.0278412674394238,-0.048992003891273,0.0601437590391635,1515,225,1740,NA,-2.14680833251213,NA,NA,NA,-0.564062626665935,NA,NA,NA,-0.76659236067206,NA,NA,NA,NA,NA,NA,NA
"S4",10,"Eff_S",-0.0616366339783983,0.0450316280999764,-0.149897003219554,0.0266237352627573,1515,225,1740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4",10,"Eff_P",-0.330669077458443,0.0352186304810001,-0.399696324786027,-0.261641830130858,1515,225,1740,NA,-2.23059767534324,NA,NA,NA,-0.384429729578991,NA,NA,NA,-0.54339239556849,NA,NA,NA,NA,NA,NA,NA
"S4",10,"Eff1_union",-0.176803134752068,0.081911865027805,-0.337347440113071,-0.016258829391064,1515,225,1740,NA,-2.21595904552155,0.0856148003833039,-2.38376097081641,-2.04815712022668,-0.399205827097815,0.0911476433649336,-0.577851925368786,-0.220559728826844,-0.550401464923527,0.102748543149284,-0.751784908960084,-0.34901802088697,NA,NA,NA,NA
"S4",10,"Eff2_union",-0.168341826095369,0.0804432845489025,-0.326007766609325,-0.0106758855814126,1515,225,1740,NA,-2.21273237862077,0.0845114231466061,-2.37837172427034,-2.0470930329712,-0.415893379337282,0.0885323733911874,-0.589413642649861,-0.242373116024702,-0.546626064157942,0.102650966634817,-0.747818261740406,-0.345433866575479,NA,NA,NA,NA
"S4",10,"Eff1",0.0252139427338024,0.0222216817640968,-0.0183397531997377,0.0687676386673426,1515,225,1740,NA,-2.13510730681914,0.0395251866775402,-2.21257524918934,-2.05763936444894,-0.518518988136033,0.057122482696643,-0.630476996928966,-0.4065609793431,-0.791326292133048,0.0579593981593992,-0.904924625091088,-0.677727959175008,NA,NA,NA,NA
